的	10000
一	9992
是	9984
在	9977
不	9969
了	9961
有	9954
和	9946
人	9939
这	9931
中	9923
大	9916
为	9908
上	9901
个	9893
国	9885
我	9878
以	9870
要	9863
他	9855
时	9847
来	9840
用	9832
们	9825
生	9817
到	9809
作	9802
地	9794
于	9787
出	9779
就	9771
分	9764
对	9756
成	9749
会	9741
可	9733
主	9726
发	9718
年	9711
动	9703
同	9695
工	9688
也	9680
能	9673
下	9665
过	9657
子	9650
说	9642
产	9635
种	9627
面	9619
而	9612
方	9604
后	9597
多	9589
定	9581
行	9574
学	9566
法	9559
所	9551
民	9543
得	9536
经	9528
十	9521
三	9513
之	9505
进	9498
着	9490
等	9483
部	9475
度	9467
家	9460
电	9452
力	9445
里	9437
如	9429
水	9422
化	9414
高	9406
自	9399
二	9391
理	9384
起	9376
小	9368
物	9361
现	9353
实	9346
加	9338
量	9330
都	9323
两	9315
体	9308
制	9300
机	9292
当	9285
使	9277
点	9270
从	9262
业	9254
本	9247
去	9239
把	9232
性	9224
好	9216
应	9209
开	9201
它	9194
合	9186
还	9178
因	9171
由	9163
其	9156
些	9148
然	9140
前	9133
外	9125
天	9118
政	9110
四	9102
日	9095
那	9087
社	9080
义	9072
事	9064
平	9057
形	9049
相	9042
全	9034
表	9026
间	9019
样	9011
与	9004
关	8996
各	8988
重	8981
新	8973
线	8966
内	8958
数	8950
正	8943
心	8935
反	8928
你	8920
明	8912
看	8905
原	8897
又	8890
么	8882
利	8874
比	8867
或	8859
但	8851
质	8844
气	8836
第	8829
向	8821
道	8813
命	8806
此	8798
变	8791
条	8783
只	8775
没	8768
结	8760
解	8753
问	8745
意	8737
建	8730
月	8722
公	8715
无	8707
系	8699
军	8692
很	8684
情	8677
者	8669
最	8661
立	8654
代	8646
想	8639
已	8631
通	8623
并	8616
提	8608
直	8601
题	8593
党	8585
程	8578
展	8570
五	8563
果	8555
料	8547
象	8540
员	8532
革	8525
位	8517
入	8509
常	8502
文	8494
总	8487
次	8479
品	8471
式	8464
活	8456
设	8449
及	8441
管	8433
特	8426
件	8418
长	8411
求	8403
老	8395
头	8388
基	8380
资	8373
边	8365
流	8357
路	8350
级	8342
少	8335
图	8327
山	8319
统	8312
接	8304
知	8296
较	8289
将	8281
组	8274
见	8266
计	8258
别	8251
她	8243
手	8236
角	8228
期	8220
根	8213
论	8205
运	8198
农	8190
指	8182
几	8175
九	8167
区	8160
强	8152
放	8144
决	8137
西	8129
被	8122
干	8114
做	8106
必	8099
战	8091
先	8084
回	8076
则	8068
任	8061
取	8053
据	8046
处	8038
队	8030
南	8023
给	8015
色	8008
光	8000
门	7992
即	7985
保	7977
治	7970
北	7962
造	7954
百	7947
规	7939
热	7932
领	7924
七	7916
海	7909
口	7901
东	7894
导	7886
器	7878
压	7871
志	7863
世	7856
金	7848
增	7840
争	7833
济	7825
阶	7818
油	7810
思	7802
术	7795
极	7787
交	7780
受	7772
联	7764
什	7757
认	7749
六	7741
共	7734
权	7726
收	7719
证	7711
改	7703
清	7696
己	7688
美	7681
再	7673
采	7665
转	7658
更	7650
单	7643
风	7635
切	7627
打	7620
白	7612
教	7605
速	7597
花	7589
带	7582
安	7574
场	7567
身	7559
车	7551
例	7544
真	7536
务	7529
具	7521
万	7513
每	7506
目	7498
至	7491
达	7483
走	7475
积	7468
示	7460
议	7453
声	7445
报	7437
斗	7430
完	7422
类	7415
八	7407
离	7399
华	7392
名	7384
确	7377
才	7369
科	7361
张	7354
信	7346
马	7339
节	7331
话	7323
米	7316
整	7308
空	7301
元	7293
况	7285
今	7278
集	7270
温	7263
传	7255
土	7247
许	7240
步	7232
群	7225
广	7217
石	7209
记	7202
需	7194
段	7186
研	7179
界	7171
拉	7164
林	7156
律	7148
叫	7141
且	7133
究	7126
观	7118
越	7110
织	7103
装	7095
影	7088
算	7080
低	7072
持	7065
音	7057
众	7050
书	7042
布	7034
复	7027
容	7019
儿	7012
须	7004
际	6996
商	6989
非	6981
验	6974
连	6966
断	6958
深	6951
难	6943
近	6936
矿	6928
千	6920
周	6913
委	6905
素	6898
技	6890
备	6882
半	6875
办	6867
青	6860
省	6852
列	6844
习	6837
响	6829
约	6822
支	6814
般	6806
史	6799
感	6791
劳	6784
便	6776
团	6768
往	6761
酸	6753
历	6746
市	6738
克	6730
何	6723
除	6715
消	6708
构	6700
府	6692
称	6685
太	6677
准	6670
精	6662
值	6654
号	6647
率	6639
族	6631
维	6624
划	6616
选	6609
标	6601
写	6593
存	6586
候	6578
毛	6571
亲	6563
快	6555
效	6548
斯	6540
院	6533
查	6525
江	6517
型	6510
眼	6502
王	6495
按	6487
格	6479
养	6472
易	6464
置	6457
派	6449
层	6441
片	6434
始	6426
